station_id,name,country,latitude,longitude,status,valid_from,valid_to,precipitation_observations,first_precipitation_date,last_precipitation_date,min_precipitation_mm,max_precipitation_mm,avg_precipitation_mm,total_precipitation_sample_mm
06030,Flyvestation Ålborg,DNK,57.0963,9.8505,Active,1953-01-01T00:00:00Z,2019-01-15T13:34:48Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,33.8,1.94,9788.7
06031,Tylstrup,DNK,57.1852,9.9527,Active,2023-12-14T08:11:58Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,47.1,2.12,10661.0
06041,Skagen Fyr,DNK,57.7364,10.6316,Active,2019-01-30T15:42:23Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,45.5,1.73,8695.4
06051,Vestervig,DNK,56.7637,8.3207,Active,2003-09-11T00:00:00Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,51.0,2.36,11902.4
06052,Thyborøn,DNK,56.7068,8.215,Active,2019-01-15T13:34:48Z,2019-01-30T15:48:12Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,46.1,2.25,11306.0
06058,Hvide Sande,DNK,56.0072,8.1413,Active,1989-01-01T00:00:00Z,2001-11-07T00:00:00Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,41.3,2.12,10697.2
06060,Flyvestation Karup,DNK,56.2935,9.1138,Active,1953-01-01T00:00:00Z,2019-01-15T13:34:48Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,46.4,2.36,11877.9
06065,Års Syd,DNK,56.7558,9.5067,Active,2019-01-30T15:56:23Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,54.3,2.08,10458.2
06068,Isenvad,DNK,56.0939,9.1811,Active,2019-01-15T13:34:48Z,2019-01-30T15:58:52Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,50.5,2.42,12208.7
06069,Foulum,DNK,56.4931,9.5709,Active,2019-01-30T16:00:24Z,2023-03-17T08:27:22Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,43.7,2.23,11217.0
06070,Århus Lufthavn,DNK,56.3083,10.6254,Active,1998-05-20T00:00:00Z,2019-01-15T13:34:47Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,60.0,2.02,10186.1
06072,Ødum,DNK,56.3027,10.1272,Active,2019-01-30T16:02:18Z,,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,63.3,1.94,9777.0
06074,Århus Syd,DNK,56.0803,10.1353,Active,2019-01-15T13:34:47Z,2019-01-30T16:04:48Z,5035,2011-12-13T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,0.0,68.1,1.98,9989.2
